Date,High,Low,Open,Close,Volume,Adj Close,coin,rank
2021-08-22,27.45954132080078,24.827241897583008,24.931142807006836,26.03426742553711,369275118,26.03426742553711,WAVES,20
2021-08-23,26.34959602355957,25.455291748046875,26.03054428100586,26.015485763549805,170494663,26.015485763549805,WAVES,20
2021-08-24,26.023958206176758,23.316024780273438,26.021299362182617,23.699445724487305,148646325,23.699445724487305,WAVES,20
2021-08-25,24.435884475708008,22.835336685180664,23.728431701660156,24.273393630981445,129332145,24.273393630981445,WAVES,20
2021-08-26,25.165103912353516,22.840892791748047,24.282146453857422,23.051286697387695,201026254,23.051286697387695,WAVES,20
2021-08-27,24.908916473388672,22.330617904663086,23.022705078125,24.62040138244629,97621397,24.62040138244629,WAVES,20
2021-08-28,26.800678253173828,24.474172592163086,24.676372528076172,25.348745346069336,211077790,25.348745346069336,WAVES,20
2021-08-29,25.452356338500977,24.3587589263916,25.370859146118164,24.820280075073242,87584257,24.820280075073242,WAVES,20
2021-08-30,28.990951538085938,24.76284408569336,24.82769203186035,26.41216278076172,481085286,26.41216278076172,WAVES,20
2021-08-31,29.22629737854004,25.493669509887695,26.5826358795166,28.21862030029297,262674657,28.21862030029297,WAVES,20
2021-09-01,30.80668067932129,27.21595001220703,28.212177276611328,29.086816787719727,234774845,29.086816787719727,WAVES,20
2021-09-02,30.82276725769043,28.194416046142578,29.087303161621094,29.76991081237793,209030959,29.76991081237793,WAVES,20
2021-09-03,31.42206573486328,29.72951316833496,29.72951316833496,30.712797164916992,207770802,30.712797164916992,WAVES,20
2021-09-04,31.00017547607422,29.904468536376953,30.789609909057617,30.52610206604004,146032720,30.52610206604004,WAVES,20
2021-09-05,30.572187423706055,29.043981552124023,30.539180755615234,29.494285583496094,187595834,29.494285583496094,WAVES,20
2021-09-06,30.072261810302734,28.16632080078125,29.48301887512207,29.10500144958496,143144305,29.10500144958496,WAVES,20
2021-09-07,30.183313369750977,21.59549331665039,29.21875762939453,27.135902404785156,423398053,27.135902404785156,WAVES,20
2021-09-08,28.951873779296875,24.14885139465332,27.17697525024414,27.430416107177734,306966439,27.430416107177734,WAVES,20
2021-09-09,34.80934143066406,27.062252044677734,27.117504119873047,31.156095504760742,683487471,31.156095504760742,WAVES,20
2021-09-10,32.46799850463867,27.988723754882812,31.163251876831055,29.118621826171875,236277283,29.118621826171875,WAVES,20
2021-09-11,33.61729431152344,29.089815139770508,29.14852523803711,30.55912971496582,334442442,30.55912971496582,WAVES,20
2021-09-12,32.83723449707031,29.523422241210938,30.583803176879883,32.1331672668457,205420255,32.1331672668457,WAVES,20
2021-09-13,34.7075309753418,28.473285675048828,32.134521484375,29.951766967773438,310649750,29.951766967773438,WAVES,20
2021-09-14,30.12793731689453,28.79563331604004,30.006223678588867,29.807592391967773,131412267,29.807592391967773,WAVES,20
2021-09-15,30.746103286743164,28.787113189697266,29.824613571166992,30.526691436767578,125061315,30.526691436767578,WAVES,20
2021-09-16,33.62932586669922,29.5821533203125,30.502859115600586,31.01902961730957,280946487,31.01902961730957,WAVES,20
2021-09-17,31.14252471923828,28.475154876708984,30.97418785095215,28.78154945373535,104664941,28.78154945373535,WAVES,20
2021-09-18,29.78501319885254,28.350439071655273,28.791898727416992,29.006149291992188,87741304,29.006149291992188,WAVES,20
2021-09-19,29.033002853393555,27.04237174987793,29.00568389892578,27.426136016845703,100155392,27.426136016845703,WAVES,20
